,Post
246,"Join us for an engaging panel discussion on International Women’s Week, where we will explore how women are shattering barriers and driving change in the fields of innovation and technology. Our strong women leaders Prabha Thomas, Sangeeta Chandran and Rosemary Hegde join Kritika Saxena for an inspiring and thought-provoking conversation. Don’t miss out on this opportunity to be a part of the conversation that matters!"
247,"TCSers Yogesh Chintada and Srujay Dulapalli, winners of the Jaguar TCS Racing experience had a thrilling time at #HyderabadEPrix. Participate in the on-going contest and stand a chance to win an all-expenses paid trip just like them: bit.ly/3Ld3hui *Exclusively for TCSers #JaguarTCSRacing #OneTCS"
248,"Not to be missed! On March 22, join Lori Hufford, Bentley's VP of Engineering Collaboration, and top industry executives as they share the latest innovations available for every industry to accelerate its automation and digitalization journey.Register: http://bit.ly/3mPLuPD#infrastructure #industrialmetaverse #3D #NVIDIAOmniverse #GTC23 NVIDIA GTC"
249,"Recently, I read an article on AI (primarily Large Language Model) published by the Times of India (TOI), one of the largest English daily in India, on their opinion page. The author is a well-known name in India and published a few fictional books but with no background on AI (or at least I’m unaware of it). I found that article very shallow with a theme of sensationalizing this technology through nationalism. It was just an attempt to share some generics with the message “AI will take your jobs” or might colonize you.In contrast, a Few days back, Noam Chomsky wrote an article “The False Promise of ChatGPT” for NYT. It was a well-researched and thought-through attempt to explore the various nuances of this technology. This article showed how this technology shows some use cases but is still far from general intelligence. He compared LLMs to the human brain and discussed the differences.I put these two articles in contrast to visualize the difference in the quality of content on a very similar topic across the continents (by somewhat similarly strong media channels). India has a range of amazing people with real experience in this domain. They also have a strong voice and a large following. They could have written a piece with great depth that could have provided a good window into this technology for the readers.In one of the Hindi movies I watched, the protagonist used to call “wrong number” to things that were impractical or sometimes fake. I found this article from TOI as a “wrong number”. I’m unsure about the intent behind these botch-up efforts to share this technology with a broader audience. This audience may not have a technical background and may trust this news. A beautiful technology was stamped as a new way of colonialism. India deserves better. Better content and surely a thought process with logical opinions.#ExperienceFromTheField"
251,Don't miss our upcoming speaking session on Multi-Channel Content Syndication at Scale with Blue Shield of California! Join us to learn how they are leveraging Adobe Experience Manager to distribute the right message to the right audience at the right time. infy.com/42kmsbJ #InfyatAdobeSummit #AdobeSummit #AdobepartnerDave Grimm Thomas Swanson Venky Ananth Blue Acorn iCi
253,"Faced with so many risks and opportunities, potential partners and new technologies, enterprises need a way to optimize planning and decision-making.Join Wipro at aim10x Global 2023 to learn how leaders can synthesize data and strategy into transformations that optimize supply chains and related business functions while advancing sustainability efforts.We’ll be on site demonstrating how Wipro is enabling companies to overcome complexity and future-proof their businesses through strategic, technology-driven innovation. Details & registration: https://bit.ly/3ZOhFx0#DigitalTransformation #SupplyChain #Sustainability"
254,We hope this Holi is full of happiness for you and your family. Here’s to a year alive with color and joy! https://lnkd.in/eZiPKSB3#OracleForAll #HappyHoli
255,Eliminate testing with Executable Specifications https://hubs.la/Q01Fs6Xm0#testing #automatedtesting
257,"Build your business on Azure, and develop at your own pace. Sign up for the Microsoft for #Startups #FoundersHub today. http://msft.it/60455xrof"
258,"Belief has no borders. We believe that technology can connect each of us, regardless of who we are or where we are. And the 2022 TCS New York City Marathon was a testament to this.  Introducing Sharon and Rose Lokedi—two incredible women who share their unforgettable stories of belief and connection at the 2022 #TCSNYCMarathon.Tata Consultancy Services—North America"
259,Hola #connections ....I am delighted to share that I have solved 100 Questions on Leetcode. It's just a small step towards a long Journey.More to Come with the consistent efforts 🤙 #leetcode #coding #datastructures
260,"Join Wipro and Edgile at the 2023 Gartner IAM Summit in Grapevine, Texas for an opportunity to meet our experts and learn about the latest in IAM and cloud security. Learn more at https://bit.ly/3y76Iea.#GartnerIAM #IAM #Gartner2023 #Cloud #Cybersecurity"
261,"HPE was recognized in Schneider Electric's inaugural Sustainability Impact Awards, which celebrate industry leaders who prioritize innovation by working towards sustainability goals and decarbonizing operations.  This is just another step in our journey to achieve net-zero by 2040. 🍃 https://hpe.to/60453FDJD"
262,How can someone working in corporate fall for a CEO fraud?  It's a myth that only naive can be scammed.  CEO fraud OR Whale Phishing is more sophisticated than you think. And it efficiently targets your employees.  The practical solution against it is to be 'well aware and trained.' Interested? Read more here:  https://lnkd.in/dAvR9qE9 #cybersecurity #mssp #spam #scam #phishing
264,"Join our leaders  Prabha Thomas, Sangeeta Chandran and Rosemary Hegde with Kritika Saxena for an inspiring and thought provoking discussion on workplace wellbeing and ideas that stretch the imagination in the field of technology on 10 March 2023 | 4:30 PM IST. Mark your calendars so that you don't miss out."
265,"Join us tomorrow, March 9th for our global summit in celebration of #InternationalWomensDay — featuring panels, workshops, and tech talks highlighting the accomplishments and forward momentum of women technologists. Learn more and register: goo.gle/iwd23#IWD2023 #WomenInTech"
266,"#SteveJobs almost prevented the #iPhone from being created. And contrary to popular myth, the iPhone was NOT Steve Job's brainchild. Apple had done a massive turnaround with the iPOD. But by 2007, iPod was going to be disrupted, by mobile phones like Nokia 5310 that could play music. And iPods were almost half of Apple's revenue.Tony Fadell, the designer behind the first iPhones said “We had the music player doing video and audio and photo. We had iTunes. Then futurephones came out. They started playing MP3. This is a holy shit moment. Phones could steal everything we were doing. What could we do to counter this? ""But Jobs was against building phones for two reasons.One, Steve Jobs did not want to go through the orifices to get to the end users. By orifices, he meant carriers like Verizon and AT&T, which had final say over which phones could access their networks. Second, Jobs wasn’t convinced that the emerging smartphone category was going to be a wide market. He believed it would not go beyond the “pocket protector” crowd aka nerds. So instead they decided to partner with Motorola to create the iTunes phone - The Moto ROKR E1. And it bombed!Steve was still not convinced about building a phone. But his team was. And unknown to even Steve, the team started building the iPhone. They gutted an iPod, added Wifi and got the internet to run on the IPod. Steve's reaction "" This is bullsh**"". Steve didn't really see the path to success.However two Apple veterans, Mike Bell and Steve Sakoman, continued to lobby with Steve Jobs for months. They were convinced that computers, music players and cell phones were heading towards an inevitable convergence.On November 7, 2004, Bell sent an email to Jobs - ""Steve, I know you don't want to do a phone. But here's why we should do it. Jony Ives has some really cool designs for the future iPods that no one has seen. We ought to take one of those, put some Apple software around it, and make a phone ourselves instead of putting our stuff on other people's phone.Jobs called him right away and debated for hours. Finally he relented and agreed to build a phone.  - - - There are three key lessons in this story here : 1. The lone inventor myth. Far too often, we believe its one single person's will that forged a great product, often forgetting that countless incredible nameless people that work behind the scenes making some of the worlds best product.2. Even visionaries always don't have the best vision of the future. But a great team can probably help see the future better.3. It takes a lot of lobbying and story selling to get people to buy into your narrative. Far too often I see people give up just having pitched their idea barely a few times. It sometimes takes months, even years to sell a game changing story. ---Illustration courtesy Eleni Kalorkoti.Sources : Multiple Media Articles & The One Device - The Secret History of the iPhone , by Brian Merchant."
267,"“The future of Meta in India calls for two key superpowers. The first is developers who understand how people want to interact with the immersive world around them. Second, the metaverse is opening up a global marketplace. Our endeavor as a platform is to take what is developed by the unique, innovative companies and people in India and bring it to the world.” — Manish C., Director and Head of Partnerships, MetaLearn more about how we are building Meta in India: https://lnkd.in/eirGBbDN"
268,"Listening. 👂 Avoiding assumptions. ❌ Giving everyone a seat at the table. 🪑This is what equity means to V Teamers from our employee resource groups. And, this #WomensHistoryMonth, they’re reminding us that it’s in our power to be an ally, an advocate, and to #EmbraceEquity every day. Learn about our inclusive culture: https://vz.to/3IDgmKr"
269,"🎉 Our DP playlist crosses 3 Million views in ~1 yearDynamic Programming, is arguably the most feared topic when we talk about DSA. It isn't only you, I also did not understand anything for the first time when I started with it during my second year. Back in my time, there was a lack of structured resources as well which did not make it easier. Last year I decided to bridge this gap and create an in-depth Dynamic Programming playlist, where we covered 56 problems. Every pattern in Dynamic Programming was taught by covering 5+ problems. I went through various existing playlists and made sure all the comments in those playlists were addressed when I made the DP playlist. Conceptually, we should always start with recursion, followed by memoization, followed by iterative DP to save recursive stack space, and then apply space optimization to save extra space used. All the above 4 methods have been covered in each of the 56 problems we have covered. None of the paid or free playlists in the market has covered it in such depth.If you are someone struggling with it, you can give this playlist a try and I can assure you that you won't regret it. We have also made sure to add detailed notes, with C++/Java/Python codes. You can find the link in the first comment.#takeuforward #SoftwareEngineering #dsa #placements #interviews #striver #dynamicprogramming #dp"
270,"🎉 Congratulations to Nirmesh Shah, Ph.D., Mayank Kumar Singh, Naoya Takahashi, and Naoyuki Onoe for acceptance of their paper at #ICASSP 2023. We look forward to many more fruitful collaborations between Sony Research India and Sony Global Corporation! To view demo audio samples, visit: https://lnkd.in/dqjb9tyeFor more information on the #ICASSP conference, visit: https://lnkd.in/enH9gkHb"
271,I really appreciate the fantastic partnership and collaboration we have with Melia hotels and am always impressed when I stay at a Melia property. Really thankful to share this detail on how we have been able to achieve great things together with the Oracle Hospitality Integration Platform. #hospitality #oracle #hotels #cloud
273,Sophisticated cyber-attacks need a sophisticated tool stack. Does your organization have the following cyber security tool stack? #1 Network Access Control#2 Data Loss Protection#3 Firewalls#4 Endpoint Protection Know more with this brief video.  #cyberattacks #cloudsecurity #mssp
274,"Amazon Visiting Academic Dr. Hae Won Park is helping us create robots that adapt to users’ wants and needs. Pretty neat! 🤩 ⬇️“I’m working on bringing Astro users a closer relationship with the robot. We’ve heard customers want a richer relationship with their home robots – and we are committed to working on the features that our customers want. Ultimately, we aim to build technology that adapts to the users’ wants and needs, not vice versa.”Park shares how her lessons learned from her background in childhood education and eldercare are helping her and team turn home robots into better helpers and companions. ➡️ https://amzn.to/3m1Q24Y"
275,"""Celebrating 300 LeetCode questions completed! 🎉🚀 Thankful for the support and guidance of these amazing people on my journey. 🙏🏼""I am thrilled to announce that I have completed 300 LeetCode questions! It has been an incredible journey, filled with countless challenges and opportunities for growth. Along the way, I have had the unwavering support and guidance of some incredible people who have helped me reach this milestone.Firstly, I would like to thank my mentor Sanchita Mishra, who has been a constant source of inspiration and motivation throughout my journey. Her expertise and guidance have been invaluable, and I am grateful for her support.Secondly, I would like to express my gratitude to Sakshi Singh, whose patience and encouragement helped me overcome some of the toughest challenges I faced. Her unwavering support has been a driving force behind my success.Thirdly, I would like to thank Anvansh Singh and Ananya Punia, whose unique perspective and insights have helped me approach problems from a different angle. Their input has been invaluable, and I am grateful for their help.Lastly, I would like to mention my junior Alisha Raghav, who has asked me countless doubts and that constant practice has helped me increase my speed of problem-solving. They all have been an excellent teammate, and I am proud to have them by my side.I couldn't have reached this milestone without the support and guidance of these amazing people, and I am grateful for their contributions to my journey. Here's to many more coding milestones to come!#LeetCode #CodingChallenge #Programming #DataStructure #DailyCoding #coding #success"
276,"💻 Want to do 2 Month Work from Home Internship?⏳ Have you got what it takes to create content calendar for creators?📍 Ozibook is hiring Intern Content Calendar Designers. 📄 As a Content Calendar Designer intern you will be responsible for:👉🏻Building content calendar as per the specification.👉🏻Analyze information supplied by the creator, extract valuable content, and repurpose it into formats specified by the digital account manager. Refer to the below attached document to learn more about the internship and the responsibilities you will be undertaking: https://lnkd.in/dbhdBSt6 💡If you want to build a better future by bringing about a change in education then do apply. 🎊 Perks:✅ Stipend: Rs. 1000 per month.✅ Internship Completion Certificate.✅ Letter of Recommendation (Performance based). 📩 Comment your mail ID and our team will reach out to you.#startup #internship #hiringinterns #contentcalendardesigninternship #graphics #startuphiring #campushiring #placementcells #education #contentcalendardesigners Tanvi Mittal  jayavardhan reddy enumulaAnuroop KothamasuRithesh Darish Ozibook OzigenDevika SubramanianUmme Tuba"
277,"Happy Women’s Day to all amazing queens out there ❤️ For most middle-class people, the first placement and job are soo important. The two humans who are highly excited about all your small and big wins are your parents! Never dis respect them! Here is the the picture of my queen, my Maa👑#womensday"
279,"When Alli Soule joined Lenovo, she took over the brand's existing employee advocacy platform. A missing piece was the visibility and understanding of employees’ brand-related activity on social media. To celebrate #IWD2023 and Women's History Month, we're spotlighting Allie's success in implementing a thriving advocacy program at Lenovo: 2,350 employee advocates secured, a 200% increase in engagement, and a 360% boost in social media reach.Read the story ➡️ http://ms.spr.ly/60405sHZY#WomensHistoryMonth #EmployeeAdvocacy #WeAreLenovo"
280,"Hey connections, Have a look over here! 👋👋"
281,"Leading up to International Women’s Day, we’re honoring women and allies at Bentley who have embraced equity and equality at work and in their communities.This is Melissa Ruth, a Senior Manager at Cohesive . Melissa is a diversity and inclusion advocate who has been leading a special interest group on the topic since 2020 through The Reliability Leadership Foundation. Through this initiative, she volunteers her time driving the members of the special interest group towards producing a manifesto that states where the industry is at and providing action plans for those in the reliability community. She is passionate about diversity in all industries and believes that bringing unique perspectives to the table can change the results of team projects. Melissa speaks on the topic regularly at industry conferences, via social media, podcasts, webinars, and directly with reliability leaders worldwide.In addition, Melissa is an active member of Bentley's IDEA board for Women and OpenAbilities, actively participating in the upcoming Deafness Awareness Panel and Neurodiversity Panel discussions. She also partners with The WIT Network to provide a platform for women in IT in Houston, Texas to connect, mentor, and inspire others. Her work has impacted many communities across multiple companies worldwide.#IWD2023 #InternationalWomensDay #EmbraceEquity #womenintech Melissa Ruth CRL, MBA"
282,"On this #InternationalWomensDay, I would like to stretch my boundaries a bit and try something completely new. Presenting my #Youtube Channel: @sindhu_gangadharanOn #Youtube, I would love for us to connect on topics like:✅ Latest #TechnologyTrends✅ My #Learnings over 23 years – what worked for me, what didn’t✅ How I keep myself #Motivated ✅ #NewAgeLeadership ✅ Daily Routines to stay Fit, #Healthy and Driven✅ Building successful careers for #Women✅ #BTS Action from high-impact events I am equally nervous and excited about this new step. It reminds me of the same feeling when we take our products to market and anticipate customer feedback😉 But here I am trying something new, fully aware that things don't go as planned always, still wanting to take this new challenge and broaden the horizons for myself and so many others like me. Here is my 1st YouTube Video: https://bit.ly/3ZONLstI would love to know the topics you’d like me to cover on #Youtube. So, tell me in the comments and stay tuned for more 😊Thank you so much for your continued support 🙏🙏"
283,"Join us today at 1 PM ET for the second episode of our Women’s History Month series, #WomenInTech: Bring the change, don’t wait for it! This session, led by Shelly Ashwill and Mark Tina - M.B.A., will cover the pathways to success as a #WomaninTech. Panelists Judith Spitz, Nalini R. Flora White, MBA, and Cristal Espejo will talk about how programs like Girls In Tech New York and Break Through Tech are creating pathways to success. You won’t want to miss it! https://bit.ly/3HXiOK8"
284,"A friend today shared a powerful quote from Napoleon Bonaparte that said, ""The reason most people fail instead of succeed is they trade what they want most for what they want at the moment."" When the thing you want the most, takes longer to achieve, should you choose the easier, shorter path? Why is one path glorified and other reprimanded? As founders, do you wish you could trade one path for another? Send all your hot takes! #founders #wokewednesdaysP.S. Thanks Julian Kohann for sharing the quote!"
285,1 MORE DAY TO GO🚀🚀Did you know that security awareness training and phishing simulations are critical to protecting your organization from cyber threats? Join our upcoming webinar to learn more about how to educate and train your employees to identify and respond to potential security breaches. Our expert speaker will guide you through the process and offer tips for implementing effective security awareness training and phishing simulation programs. Don't miss out on this opportunity to enhance your organization's security posture! Register now: 👇👇https://lnkd.in/g6ayANt3#SecurityAwareness #PhishingSimulation #Cybersecurity #Webinar #InfosecTraining #cloudsecurity
286,"Read “LLM in Intellectual Property and Corporate Law” in the title of someone on LinkedIn. I Got excited that Large Language Models will be disrupting such a complex domain and clicked on their profiles to learn more about it.Found they are lawyers with Masters's degrees without any connection to AI. I hallucinated this time. It's time to reduce the overfitting of my brain neurons. I won't blame the journalist who thought AI was ""Air India"" than ""Artificial Intelligence"". Context matters the most. If it is not available, ask for it."
287,"“Diversity, Inclusion, and Equity are the core focus and key pillars of all of our processes from recruiting, mentorship, and performance evaluations to every team meeting”.Hello, I am Jasmin Frick, Director of Seller Success at the Amazon MENA marketplace. Through my roles here, I’ve worked in Munich, London, and now Dubai. It has been a decade of working at Amazon and the amount of support, encouragement, and empathy I’ve received are unique to Amazon. Above all, it’s been my work in this environment that has accelerated my growth. Diversity, equity, and inclusion bring value every day in forging stronger results and efficient operations. A key step for me as a leader is to actively recruit people from diverse backgrounds, and foster collaboration and engagement between team members while mentoring the growth of diverse leaders. I’ve had the opportunity to work on some of our biggest rock projects where we live by the Leadership Principles of “Earn Trust, Ownership, Learn and Be Curious”, which embrace diversity and equity. My advice to women who are starting their professional journey while navigating bias and stereotypes is this: Join a company that embraces and lives by diversity and equity. Seek mentors, sponsors, and role models who will guide and support you. If you observe or experience biases and/or stereotypes in your workplace: be brave and speak up! This is critical to building inclusive workplaces. Learn more about working at Amazon: https://amzn.to/3iSsv5r#IWDxAMAZON, #EmbraceEquity, #InThisTogether, #InsideAmazon #AmazonMENA"
288,"""Every tech company is concerned about protecting users' privacy... and you can't have that privacy without security.""   Microsoft GM and Associate General Counsel for Cybersecurity Policy & Protection Amy Hogan-Burney is in Singapore this week, and it was great to see her interview on CNA discussing cybersecurity's growing importance amid Asia's rapid digital transformation and rise in cybercrime.   Zero-trust architecture, multi-factor authentication, migrating to the cloud, and appropriately regionalising data are practices that can boost resiliency against cybercrime. We are committed to being a trusted ally to individuals, governments, and businesses in protecting what matters, for example through our support of the ASEAN Cybersecurity Skilling Programme.   Watch Amy's full interview to learn more."
289,"I am pleased to share that I had an opportunity to attend a 3-day national seminar on the theme “Cost excellence- A sustainable business strategy” organized by the Committee on Cost Management for Public and Government Services at Bhubaneswar. The seminar provided an excellent platform for professionals from the energy sector to come together and share insights on the latest trends, best practices and innovations in renewable energy.The seminar focused on the importance of cost excellence as a key strategy for sustainable business growth in the renewable power sector. The sessions covered a range of topics including leveraging technology to optimize costs, enhancing operational efficiency, adopting best practices in power financing, innovative financing models, new technologies for renewable power generation and transmission, and best practices for cost management.As someone who is passionate about sustainable energy and its role in driving economic growth, I found the seminar to be a valuable learning experience. I was particularly impressed by the case studies presented, which showcased how businesses are leveraging cost excellence to achieve sustainable growth and success in the renewable power industry. It was clear that there are many exciting developments happening in the renewable energy industry.One of the key takeaways from the seminar was the importance of collaboration among stakeholders in the energy sector. It was inspiring to see how participants from diverse backgrounds came together to discuss challenges and opportunities in renewable energy and explore ways to address them.#CostExcellence #SustainableBusinessStrategy #RenewablePowerGeneration #PowerFinancing #NationalSeminar"
290,"“Kabhi bade sapne dekhne ki himmat hi nahi hui; Papa’s a farmer. So life hasn’t been easy. But it was harder for him. He’d walk overnight to reach school, until one day he had to drop out — having two square meals a day was getting difficult. Papa says that was the day he decided that he would ensure his kids never had to go through what he did.So when he had me at 25, he did all that he could. I knew of all his sacrifices, so at an early age, I dedicated myself to my studies. After school, my Tauji would help me with my homework. Since we didn’t have money to buy notebooks, Tauji would take a chalk and write on a broken wall near my house. That's how I learnt ABC and tables. Then, at 13, I had to move away for further studies as the nearest school was 20 km away. I was terrified; I had never lived alone. But Papa's words, ‘Tu padh. Baki ki chinta mat kar,' gave me the courage. For the next 4 years, I worked hard and topped my classes. I began taking an interest in my studies and for the first time, I dared to dream. I decided, ‘School ke baad, BTech karunga. Paise kamaunga.’ I guess when you're determined, things start working in your favour–I landed a full scholarship! Papa was the happiest. He patted my back and said, 'Jo main nahi kar saka, ab tu karega!'But college was a different zone altogether. Initially, I felt out of place – sab English bolte the. So, I decided to learn the language. Day and night, I'd watch videos and practice.  Side by side, I even started learning Java. I had become a sponge–absorbing and learning from everything I could. But a challenging time was yet to come–I graduated in the midst of the pandemic. Companies weren’t hiring, so for 5 months I was jobless. I had to move back home. But I didn't sit idle; I wanted to make use of my time so I researched where I could learn how to code and that's when I came across Newton School. I loved their courses so I enrolled for a 6-month course! My classes began in October 2021. I would practise coding day and night; I was barely sleeping. My hard work paid off– in my 4th month, I got placed at Lenskart! That day changed not only my life but also my family’s. I’m the first person in my family to work at a corporation! Maa and Papa said, ‘Garv hai tum par!’ You know, I gave my entire first salary to my family. Sab bahut khush hue – bade dino baad ghar mithai aayi thi.It’s been 8 months since I’ve started working and I finally feel capable of taking care of my family. They still live in that small house. But that’s what I’m working towards–buying a home. A home where everyone is well fed, a home where people aren’t worried about the roof falling off any minute. But most importantly, a home where both, the young and the old, are never afraid to dream big!”-Like Jagdish, you too can change your life by joining Newton’s Full Stack Development Course! To know more, click on the link below! #NewtonSchoolhttp://bit.ly/3menG7IWritten by: Stuti Shukla"
291,"With Dynamics 365 Copilot—the world's first AI Copilot for both CRM and ERP—we are transforming every business process and function with interactive, AI-powered collaboration."
292,"As #AI continues to take the world by storm, the financial industry is no exception. More and more, financial leaders are leaning on AI to drive automation and better support overworked teams during this economic climate. Now there’s data to prove this. According to Microsoft’s Economic Guardians of the Future report, “Eighty-two percent of finance leaders found AI and automation very important in helping evolve their team’s role to support their organization’s strategic goals.” Georg Glantschnig wrote in Fortune how this data point offers financial leaders an opportunity to embrace more AI tools to reinforce their value as innovators. You can read the report here: https://lnkd.in/gD_NwUKA"
293,"Update on the overall fiasco ( Good News ) :US regulators decided to bail out SVB customers.Every account holder can withdraw their money as the bank opens Monday - US time.100000+ employees might not receive salaries this month, 1000+ startups might do mass layoffs,Here is the reason 👇If you are working for a startup which is incorporated in the USThere is a 7/10 chance that your startup is banking with Silicon Valley Bank It almost has a 25% market share in the Silicon Valley and yesterday Silicon Valley bank shut down 😑The worst part, about $175B worth of deposits from startups are frozen and no one is able to withdraw money. Insurance covers only 5% of the total deposits in the bank 🤯And this happened in just the last 48 hours. Here is an explanation of what happened in the simplest way possible : You see Silicon Valley Bank majorly worked with startups.The US Federal Reserve raised interest rates, which made it more expensive for investors to borrow money.Overall startup funding scene slowed down because of that ( hence many layoffs have been happening recently )Because of this more startups were taking money than depositing.To give this money to its clients - startups, Silicon Valley Bank sold some of its investments, like bonds.The bank had bought these bonds when interest rates were lower, but had to sell them when interest rates were higher, Which caused the bank to lose money. Like almost $2BWhen this news came out, The stock fell rapidly as a result more startups started to withdraw money in a panic since existing investors suggested so 😒That depleted the bank's reserves even faster. SVB tried to raise more money but they failed to do so.Eventually, the bank had to shut down and be taken over by banking regulators.This is could be the second-largest banking collapse after the Lehman brothers What does this mean?If USA government and respective authorities don't step in and bail out,1000’s startups might lose the majority of their money,Leading to shutdown and mass layoffs.And that will definitely push the economy into a horrible recessionIf you think that this is happening in USA and if you are sitting in India, there will be no impact. You're mistaken! The majority of the Indian startups which raised funding are usually registered in US or SingaporeAnd if they are registered in is, there is a high probability that SVB is the only bank they work with. Now, what are the top learnings from this?Silicon Valley Bank's failure is a reminder that having single points of failure can be risky.- If you have only one bank, consider getting a second one.- If you rely on only one marketing channel, start testing more.- If you have only one critical employee, consider training more employees.- If you have only one major customer, consider diversifying your customer base to reduce the risk of losing that customer. Thoughts?"
294,"Sathyabama Institute of Science & Technology, Chennai  is organizing an ANNUAL ALUMNI MEET-CONFLUENCE-2023.Organized by the Department of CSE, School of Computing.Requesting the Alumni in India to attend. A reunion among friends, and revisit college.Registration Link: https://lnkd.in/gAhtaNQAprince mary #sist #engineering #alumnimeet"
297,"Our Build Your Future site has opportunities to help you build skills in technology, business, engineering, and more. Learn more at https://goo.gle/3IZI18A"
299,"Before/after of Corridor Digital's latest AI video is wild. They shot video on greenscreen, made virtual sets in Unreal, then reskinned it to anime by finetuning Stable Diffusion. Net result? 120 VFX shots done by a team of 3 on a dime. Bravo! This is a milestone in creative technology. ⚙ Corridor basically made an open source video2anime workflow to pull off this video. Key tools they used are: - Stable Diffusion model + DreamBooth fine-tuning- Unreal Engine + asset store 3D models - Img2Img + DeFlickering effect- Heaps of gold ol' fashioned VFX compositingNow let's deconstruct their creation workflow:1. Train a model to replicate a specific style2. Train a model to know a character 🔄3. Run green screen video through img2img with controlled noise4. Reduce flicker with Deflicker plugin5. Add 3D elements in Unreal 56. Final VFX comp/edit in ResolveFor the final polish, Corridor added heaps of good old fashioned VFX e.g. - Speed lines to emphasize motion- Glows to emulate a film camera / cell animation- Dynamic elements (e.g. candles) in Unreal- Volumetric light rays to set the indoor mood+ 🔥editing & sound design!It's pretty wild what a scrappy team can do with generative AI combined with digital creation tools. *This is truly the rise of the 10x creator* Follow Bilawal Sidhu for more creative tech magic. #artificialintelligence #machinelearning #ml #ai #deeplearning #computervision #generativeai #aiart #aivideo #visualeffects #youtube #vfx #filmmaker #animation #creator"
301,This is how #AI perceives corporate roles 😁Credits : Generative AI
302,"I join a Billion Indians in celebrating the Honour for #NaatuNaatu and #RRR 🎉Kudos to MM Keeravani Garu and Chandra Bose Garu on making History ❤️👏The man of the moment, brilliant storyteller who has made India proud SS Rajamouli Garu 🎉Both my brothers, the superstars Ram Charan and Jr. NTR 🎉🍾💥 put your dancing 🕺 shoes on"
304,I’m happy to share that I’m starting a new position as Full Stack Developer at Jabit Soft Pvt Ltd!
305,"""Some first are always special ❤️ Unlocking my potential in a new career adventure!""Thrilled to announce my new role as a Associate Software Engineer Trainee at Nagarro! 🚀 Excited to bring my skills and experience to the team and make a meaningful impact.#nagarro #firstjob #workfromanywhere #softwareengineer"
308,"On the auspicious occasion of Amrit Kaal, KIET Group of Institutions Ghaziabad organized a series of exciting events on 02 March 2023 that brought together students, faculty, and staff in a spirit of camaraderie and intellectual engagement. From thought-provoking debates to creative essay writing, energizing Nukkad Naatak, and expressive MIME performances, the campus was abuzz with a range of activities that showcased the talents and skills of our diverse community.As part of our commitment to empowering new ideas and strengthening all stakeholders of society, we also took the ""Panch Praan"" pledge suggested by AICTE, New Delhi, and committed to fostering a culture of positivity, growth, and excellence. During the events, faculty, staff, and students also expressed their gratitude towards each other and took five powerful pledges to drive positive change in themselves and the world around them.At KIET Group of Institutions, we believe in celebrating the richness and diversity of our culture while also embracing innovation and progress.KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #AmritKaal #KIETGroupOfInstitutions #PanchPraan #Gratitude #EmpoweringIdeas #PositiveChange #UnityAndGrowth #innovation #growth #culture #community #creative #diversity #students #events #delhi"
309,"If you don’t feel like paying $20/mo for ChatGPT Pro, try out Poe by QuoraIt is currently the only app that supports Claude @AnthropicAI, and the ChatGPT interface runs smoothly. And it is Free for now!I like that Poe automatically highlights key terms in the response for you to dig deeper. Click on it and Poe continues with ""Tell me more about <keyterm>"" on your behalf.  Seems like a great way to go down the rabbit hole and boost engagement 100x on Quora What do you think?#chatgpt #artificialintelligence"
310,"Today is International Women’s Day. It’s theme is embracing equity. Each person has different circumstances. We need to allocate resources, and opportunities to reach an equal outcome. The IWD 2023 #EmbraceEquity campaign theme seeks to get the world talking about why ""equal opportunities are no longer enough"" - and can in fact be exclusionary, rather than inclusive.Image below explains the difference between equity and equality as we #EmbraceEquity. Source: https://lnkd.in/gTcFFrDmImage source:Robert Wood Johnson Foundation #iwd2023 #equity #equality"
311,"A day to remember! Our students were thrilled to have Mr. Saurabh M Pandey, the Research Head and Additional Screenplay writer for ""The Kashmir Files"" at KIET Group of Institutions during 'Epoque@Prastuti 2023. What an incredible opportunity for our aspiring actors and directors!Congratulations Saim & Team for winning the skit competition and thank you Ms. Srishti Sabharwal, Rising Star title winner from Mrs. Delhi NCR 2022 for honouring us with your presence at the judges’ panel.KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106 #kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #Winners #Felicitation #Epoque_at_Prastuti2023 #CulturalFest2023 #CulturalFest #EpoqueAtPrastuti2023 #Epoque2023 #Skit #Theatre #Competition #SaurabhMPandey #SrishtiSabharwal #Judges #opportunity #thankyou #team #delhi #students #research #writer"
